NUTS;GIVEN_NAME;NUMBER;RANKING;SEX;YEAR
DE144000;Maximilian;36;1;male;2008
DE144000;Luca;31;2;male;2008
DE144000;Felix;28;3;male;2008
DE144000;David;27;4;male;2008
DE144000;Lukas;26;5;male;2008
DE144000;Fabian;25;6;male;2008
DE144000;Paul;25;6;male;2008
DE144000;Tim;25;6;male;2008
DE144000;Leon;24;9;male;2008
DE144000;Alexander;23;10;male;2008
DE144000;Philipp;22;11;male;2008
DE144000;Simon;22;11;male;2008
DE144000;Jonas;21;13;male;2008
DE144000;Niklas;21;13;male;2008
DE144000;Daniel;20;15;male;2008
DE144000;Elias;20;15;male;2008
DE144000;Julian;20;15;male;2008
DE144000;Samuel;20;15;male;2008
DE144000;Johannes;19;19;male;2008
DE144000;Jan;18;20;male;2008
DE144000;Moritz;18;20;male;2008
DE144000;Florian;16;22;male;2008
DE144000;Christian;15;23;male;2008
DE144000;Kevin;15;23;male;2008
DE144000;Nico;15;23;male;2008
DE144000;Sebastian;15;23;male;2008
DE144000;Benjamin;14;27;male;2008
DE144000;Finn;14;27;male;2008
DE144000;Luis;14;27;male;2008
DE144000;Noah;13;30;male;2008
DE144000;Marcel;12;31;male;2008
DE144000;Martin;12;31;male;2008
DE144000;Max;12;31;male;2008
DE144000;Robin;11;34;male;2008
DE144000;Tobias;11;34;male;2008
DE144000;Jakob;10;36;male;2008
DE144000;Benedikt;9;37;male;2008
DE144000;Can;9;37;male;2008
DE144000;Ferdinand;9;37;male;2008
DE144000;Julius;9;37;male;2008
DE144000;Manuel;9;37;male;2008
DE144000;Stefan;9;37;male;2008
DE144000;Timo;9;37;male;2008
DE144000;Tom;9;37;male;2008
DE144000;Andreas;8;45;male;2008
DE144000;Dominik;8;45;male;2008
DE144000;Emre;8;45;male;2008
DE144000;Linus;8;45;male;2008
DE144000;Matthias;8;45;male;2008
DE144000;Michael;8;45;male;2008
DE144000;Pascal;8;45;male;2008
DE144000;Sven;8;45;male;2008
DE144000;Anton;7;53;male;2008
DE144000;Ben;7;53;male;2008
DE144000;Emil;7;53;male;2008
DE144000;Georg;7;53;male;2008
DE144000;Jonathan;7;53;male;2008
DE144000;Justin;7;53;male;2008
DE144000;Marc;7;53;male;2008
DE144000;Marius;7;53;male;2008
DE144000;Muhammed;7;53;male;2008
DE144000;Nick;7;53;male;2008
DE144000;Oliver;7;53;male;2008
DE144000;Patrick;7;53;male;2008
DE144000;Vincent;7;53;male;2008
DE144000;Carl;6;66;male;2008
DE144000;Friedrich;6;66;male;2008
DE144000;Gabriel;6;66;male;2008
DE144000;Joel;6;66;male;2008
DE144000;Maurice;6;66;male;2008
DE144000;Mustafa;6;66;male;2008
DE144000;Nils;6;66;male;2008
DE144000;Peter;6;66;male;2008
DE144000;Aaron;5;74;male;2008
DE144000;Ahmet;5;74;male;2008
DE144000;Arthur;5;74;male;2008
DE144000;Damian;5;74;male;2008
DE144000;Emanuel;5;74;male;2008
DE144000;Enes;5;74;male;2008
DE144000;Erik;5;74;male;2008
DE144000;Lars;5;74;male;2008
DE144000;Lennart;5;74;male;2008
DE144000;Leo;5;74;male;2008
DE144000;Louis;5;74;male;2008
DE144000;Luka;5;74;male;2008
DE144000;Noel;5;74;male;2008
DE144000;Raphael;5;74;male;2008
DE144000;René;5;74;male;2008
DE144000;Richard;5;74;male;2008
DE144000;Stephan;5;74;male;2008
DE144000;Valentin;5;74;male;2008
DE144000;Ali;4;92;male;2008
DE144000;Dennis;4;92;male;2008
DE144000;Elia;4;92;male;2008
DE144000;Fabio;4;92;male;2008
DE144000;Jannik;4;92;male;2008
DE144000;John;4;92;male;2008
DE144000;Joshua;4;92;male;2008
DE144000;Julien;4;92;male;2008
DE144000;Kai;4;92;male;2008
DE144000;Laurenz;4;92;male;2008
DE144000;Laurin;4;92;male;2008
DE144000;Leander;4;92;male;2008
DE144000;Marco;4;92;male;2008
DE144000;Mark;4;92;male;2008
DE144000;Marvin;4;92;male;2008
DE144000;Mathis;4;92;male;2008
DE144000;Mert;4;92;male;2008
DE144000;Mikail;4;92;male;2008
DE144000;Thomas;4;92;male;2008
DE144000;Wolfgang;4;92;male;2008
DE144000;Yannik;4;92;male;2008
DE144000;Yunus;4;92;male;2008
DE144000;Yusuf;4;92;male;2008
DE144000;Adrian;3;115;male;2008
DE144000;Bastian;3;115;male;2008
DE144000;Cedric;3;115;male;2008
DE144000;Dante;3;115;male;2008
DE144000;Denis;3;115;male;2008
DE144000;Dieter;3;115;male;2008
DE144000;Dominic;3;115;male;2008
DE144000;Elijah;3;115;male;2008
DE144000;Elvis;3;115;male;2008
DE144000;Francesco;3;115;male;2008
DE144000;Franz;3;115;male;2008
DE144000;Hamza;3;115;male;2008
DE144000;Hannes;3;115;male;2008
DE144000;Hasan;3;115;male;2008
DE144000;Hendrik;3;115;male;2008
DE144000;Henry;3;115;male;2008
DE144000;Jannick;3;115;male;2008
DE144000;Jannis;3;115;male;2008
DE144000;Jason;3;115;male;2008
DE144000;Joseph;3;115;male;2008
DE144000;Justus;3;115;male;2008
DE144000;Kaan;3;115;male;2008
DE144000;Kadir;3;115;male;2008
DE144000;Koray;3;115;male;2008
DE144000;Leonard;3;115;male;2008
DE144000;Leopold;3;115;male;2008
DE144000;Lucas;3;115;male;2008
DE144000;Ludwig;3;115;male;2008
DE144000;Malik;3;115;male;2008
DE144000;Mario;3;115;male;2008
DE144000;Markus;3;115;male;2008
DE144000;Marlon;3;115;male;2008
DE144000;Maxim;3;115;male;2008
DE144000;Mika;3;115;male;2008
DE144000;Nikolai;3;115;male;2008
DE144000;Nikolaus;3;115;male;2008
DE144000;Patrice;3;115;male;2008
DE144000;Robert;3;115;male;2008
DE144000;Ruben;3;115;male;2008
DE144000;Silas;3;115;male;2008
DE144000;Theodor;3;115;male;2008
DE144000;Till;3;115;male;2008
DE144000;Tristan;3;115;male;2008
DE144000;Valentino;3;115;male;2008
DE144000;Wilhelm;3;115;male;2008
DE144000;Yannick;3;115;male;2008
DE144000;Albert;2;161;male;2008
DE144000;Alessio;2;161;male;2008
DE144000;Alex;2;161;male;2008
DE144000;Antonio;2;161;male;2008
DE144000;Arno;2;161;male;2008
DE144000;Aron;2;161;male;2008
DE144000;Aurelio;2;161;male;2008
DE144000;Benno;2;161;male;2008
DE144000;Berat;2;161;male;2008
DE144000;Berke;2;161;male;2008
DE144000;Bernd;2;161;male;2008
DE144000;Boran;2;161;male;2008
DE144000;Carlos;2;161;male;2008
DE144000;Cem;2;161;male;2008
DE144000;Claudius;2;161;male;2008
DE144000;Conrad;2;161;male;2008
DE144000;Deniz;2;161;male;2008
DE144000;Diego;2;161;male;2008
DE144000;Dion;2;161;male;2008
DE144000;Donik;2;161;male;2008
DE144000;Edison;2;161;male;2008
DE144000;Eduard;2;161;male;2008
DE144000;Eliah;2;161;male;2008
DE144000;Emilio;2;161;male;2008
DE144000;Emir;2;161;male;2008
DE144000;Enrico;2;161;male;2008
DE144000;Enrique;2;161;male;2008
DE144000;Eray;2;161;male;2008
DE144000;Eren;2;161;male;2008
DE144000;Eric;2;161;male;2008
DE144000;Erich;2;161;male;2008
DE144000;Erkan;2;161;male;2008
DE144000;Faruk;2;161;male;2008
DE144000;Fritz;2;161;male;2008
DE144000;Furkan;2;161;male;2008
DE144000;Hans;2;161;male;2008
DE144000;Heinrich;2;161;male;2008
DE144000;Henri;2;161;male;2008
DE144000;Henrik;2;161;male;2008
DE144000;Ibrahim;2;161;male;2008
DE144000;Immanuel;2;161;male;2008
DE144000;Janis;2;161;male;2008
DE144000;Jens;2;161;male;2008
DE144000;Jeremias;2;161;male;2008
DE144000;Jeremy;2;161;male;2008
DE144000;Jidechukwu;2;161;male;2008
DE144000;Jona;2;161;male;2008
DE144000;Josef;2;161;male;2008
DE144000;Kerem;2;161;male;2008
DE144000;Kerim;2;161;male;2008
DE144000;Kilian;2;161;male;2008
DE144000;Klaus;2;161;male;2008
DE144000;Levin;2;161;male;2008
DE144000;Liam;2;161;male;2008
DE144000;Loris;2;161;male;2008
DE144000;Marcus;2;161;male;2008
DE144000;Marian;2;161;male;2008
DE144000;Marko;2;161;male;2008
DE144000;Matteo;2;161;male;2008
DE144000;Matthis;2;161;male;2008
DE144000;Mattis;2;161;male;2008
DE144000;Melih;2;161;male;2008
DE144000;Mirko;2;161;male;2008
DE144000;Murat;2;161;male;2008
DE144000;Niclas;2;161;male;2008
DE144000;Nicolas;2;161;male;2008
DE144000;Nikolas;2;161;male;2008
DE144000;Noël;2;161;male;2008
DE144000;Paolo;2;161;male;2008
DE144000;Rafael;2;161;male;2008
DE144000;Resul;2;161;male;2008
DE144000;Rico;2;161;male;2008
DE144000;Rudolf;2;161;male;2008
DE144000;Silvio;2;161;male;2008
DE144000;Süleyman;2;161;male;2008
DE144000;Tassilo;2;161;male;2008
DE144000;Thilo;2;161;male;2008
DE144000;Tilman;2;161;male;2008
DE144000;Torben;2;161;male;2008
DE144000;Victor;2;161;male;2008
DE144000;Vinzent;2;161;male;2008
DE144000;Walter;2;161;male;2008
DE144000;Xaver;2;161;male;2008
DE144000;Yannis;2;161;male;2008
DE144000;Ömer;2;161;male;2008
DE144000;Abdelkarim;1;246;male;2008
DE144000;Abdul-ur-Rahman;1;246;male;2008
DE144000;Abdullah;1;246;male;2008
DE144000;Abdurrahman;1;246;male;2008
DE144000;Abdül;1;246;male;2008
DE144000;Abenezer;1;246;male;2008
DE144000;Achim;1;246;male;2008
DE144000;Adam;1;246;male;2008
DE144000;Akim;1;246;male;2008
DE144000;Akin;1;246;male;2008
DE144000;Alain;1;246;male;2008
DE144000;Alban;1;246;male;2008
DE144000;Alberto;1;246;male;2008
DE144000;Albin;1;246;male;2008
DE144000;Albion;1;246;male;2008
DE144000;Aldin;1;246;male;2008
DE144000;Alec;1;246;male;2008
DE144000;Alessandro;1;246;male;2008
DE144000;Alexandr;1;246;male;2008
DE144000;Alexandros;1;246;male;2008
DE144000;Alexios;1;246;male;2008
DE144000;Almas;1;246;male;2008
DE144000;Altar;1;246;male;2008
DE144000;Amadeo;1;246;male;2008
DE144000;Amer;1;246;male;2008
DE144000;Amos;1;246;male;2008
DE144000;Anas;1;246;male;2008
DE144000;Andrea;1;246;male;2008
DE144000;André;1;246;male;2008
DE144000;Angel;1;246;male;2008
DE144000;Anoop;1;246;male;2008
DE144000;Anthony;1;246;male;2008
DE144000;Ara;1;246;male;2008
DE144000;Aragon;1;246;male;2008
DE144000;Arbër;1;246;male;2008
DE144000;Arcangelo;1;246;male;2008
DE144000;Arda;1;246;male;2008
DE144000;Ari;1;246;male;2008
DE144000;Arijanit;1;246;male;2008
DE144000;Arman;1;246;male;2008
DE144000;Armin;1;246;male;2008
DE144000;Arton;1;246;male;2008
DE144000;Artur;1;246;male;2008
DE144000;Arwien;1;246;male;2008
DE144000;Atilla;1;246;male;2008
DE144000;Aurel;1;246;male;2008
DE144000;Avidan;1;246;male;2008
DE144000;Avram;1;246;male;2008
DE144000;Azad;1;246;male;2008
DE144000;Balthes;1;246;male;2008
DE144000;Baran;1;246;male;2008
DE144000;Barış;1;246;male;2008
DE144000;Batuhan;1;246;male;2008
DE144000;Beat;1;246;male;2008
DE144000;Beida;1;246;male;2008
DE144000;Bekir;1;246;male;2008
DE144000;Bela;1;246;male;2008
DE144000;Ben-Laurin;1;246;male;2008
DE144000;Bendix;1;246;male;2008
DE144000;Benjaminas;1;246;male;2008
DE144000;Bennet;1;246;male;2008
DE144000;Beraat;1;246;male;2008
DE144000;Beris;1;246;male;2008
DE144000;Berkay;1;246;male;2008
DE144000;Biyan;1;246;male;2008
DE144000;Brendan;1;246;male;2008
DE144000;Brijendra;1;246;male;2008
DE144000;Bruce;1;246;male;2008
DE144000;Bruno;1;246;male;2008
DE144000;Candy;1;246;male;2008
DE144000;Caner;1;246;male;2008
DE144000;Carl-Emmanuel;1;246;male;2008
DE144000;Cayan;1;246;male;2008
DE144000;Cebbar;1;246;male;2008
DE144000;Celaleddin;1;246;male;2008
DE144000;Cevin;1;246;male;2008
DE144000;Chikelue;1;246;male;2008
DE144000;Chisom;1;246;male;2008
DE144000;Chris;1;246;male;2008
DE144000;Christopher;1;246;male;2008
DE144000;Chukwuma;1;246;male;2008
DE144000;Clemens;1;246;male;2008
DE144000;Colin;1;246;male;2008
DE144000;Collin;1;246;male;2008
DE144000;Conor;1;246;male;2008
DE144000;Constantin;1;246;male;2008
DE144000;Cornél;1;246;male;2008
DE144000;Cosmo;1;246;male;2008
DE144000;Cyrus-Leon;1;246;male;2008
DE144000;César;1;246;male;2008
DE144000;Damir;1;246;male;2008
DE144000;Danny;1;246;male;2008
DE144000;Darian;1;246;male;2008
DE144000;Darius;1;246;male;2008
DE144000;Darnell-Marteen;1;246;male;2008
DE144000;Davin;1;246;male;2008
DE144000;Desmond;1;246;male;2008
DE144000;Dewran;1;246;male;2008
DE144000;Dino;1;246;male;2008
DE144000;Djosh;1;246;male;2008
DE144000;Dominik-Tobias;1;246;male;2008
DE144000;Duc;1;246;male;2008
DE144000;Edonis;1;246;male;2008
DE144000;Edwin;1;246;male;2008
DE144000;Efe;1;246;male;2008
DE144000;Ekrem;1;246;male;2008
DE144000;Elif;1;246;male;2008
DE144000;Eman;1;246;male;2008
DE144000;Emilian;1;246;male;2008
