NUTS;GIVEN_NAME;NUMBER;RANKING;SEX;YEAR
DE144000;Alexander;36;1;male;2003
DE144000;Maximilian;34;2;male;2003
DE144000;David;31;3;male;2003
DE144000;Luca;26;4;male;2003
DE144000;Elias;25;5;male;2003
DE144000;Lukas;25;5;male;2003
DE144000;Michael;25;5;male;2003
DE144000;Jan;23;8;male;2003
DE144000;Leon;23;8;male;2003
DE144000;Paul;22;10;male;2003
DE144000;Niklas;21;11;male;2003
DE144000;Andreas;20;12;male;2003
DE144000;Florian;20;12;male;2003
DE144000;Jonas;20;12;male;2003
DE144000;Tim;20;12;male;2003
DE144000;Daniel;19;16;male;2003
DE144000;Kevin;19;16;male;2003
DE144000;Johannes;18;18;male;2003
DE144000;Max;18;18;male;2003
DE144000;Simon;18;18;male;2003
DE144000;Marcel;17;21;male;2003
DE144000;Justin;16;22;male;2003
DE144000;Felix;15;23;male;2003
DE144000;Julian;15;23;male;2003
DE144000;Peter;15;23;male;2003
DE144000;Samuel;15;23;male;2003
DE144000;Christian;14;27;male;2003
DE144000;Dominik;14;27;male;2003
DE144000;Fabian;13;29;male;2003
DE144000;Jonathan;13;29;male;2003
DE144000;Patrick;13;29;male;2003
DE144000;Philipp;13;29;male;2003
DE144000;Sebastian;13;29;male;2003
DE144000;Erik;12;34;male;2003
DE144000;Nico;12;34;male;2003
DE144000;Benjamin;11;36;male;2003
DE144000;Dennis;11;36;male;2003
DE144000;Noah;11;36;male;2003
DE144000;Robin;11;36;male;2003
DE144000;Thomas;11;36;male;2003
DE144000;Can;10;41;male;2003
DE144000;Jakob;10;41;male;2003
DE144000;Marc;10;41;male;2003
DE144000;Martin;10;41;male;2003
DE144000;Timo;10;41;male;2003
DE144000;Vincent;10;41;male;2003
DE144000;Anton;9;47;male;2003
DE144000;Emre;9;47;male;2003
DE144000;Louis;9;47;male;2003
DE144000;Manuel;9;47;male;2003
DE144000;Pascal;9;47;male;2003
DE144000;Tobias;9;47;male;2003
DE144000;Joshua;8;53;male;2003
DE144000;Julius;8;53;male;2003
DE144000;Marius;8;53;male;2003
DE144000;Marvin;8;53;male;2003
DE144000;Nils;8;53;male;2003
DE144000;Philip;8;53;male;2003
DE144000;Adrian;7;59;male;2003
DE144000;Benedikt;7;59;male;2003
DE144000;Christoph;7;59;male;2003
DE144000;Finn;7;59;male;2003
DE144000;Marco;7;59;male;2003
DE144000;Oliver;7;59;male;2003
DE144000;Tom;7;59;male;2003
DE144000;Hannes;6;66;male;2003
DE144000;Jannik;6;66;male;2003
DE144000;Joel;6;66;male;2003
DE144000;Lucas;6;66;male;2003
DE144000;Luis;6;66;male;2003
DE144000;Magnus;6;66;male;2003
DE144000;Maria;6;66;male;2003
DE144000;Matthias;6;66;male;2003
DE144000;Maurice;6;66;male;2003
DE144000;Moritz;6;66;male;2003
DE144000;Nicolas;6;66;male;2003
DE144000;Silas;6;66;male;2003
DE144000;Valentin;6;66;male;2003
DE144000;André;5;79;male;2003
DE144000;Deniz;5;79;male;2003
DE144000;Emanuel;5;79;male;2003
DE144000;Georg;5;79;male;2003
DE144000;Jannis;5;79;male;2003
DE144000;Mert;5;79;male;2003
DE144000;Raphael;5;79;male;2003
DE144000;Sven;5;79;male;2003
DE144000;Yannick;5;79;male;2003
DE144000;Yannik;5;79;male;2003
DE144000;Christopher;4;89;male;2003
DE144000;Cornelius;4;89;male;2003
DE144000;Denis;4;89;male;2003
DE144000;Erwin;4;89;male;2003
DE144000;Gabriel;4;89;male;2003
DE144000;Josef;4;89;male;2003
DE144000;Lars;4;89;male;2003
DE144000;Leo;4;89;male;2003
DE144000;Linus;4;89;male;2003
DE144000;Markus;4;89;male;2003
DE144000;Muhammed;4;89;male;2003
DE144000;Phillip;4;89;male;2003
DE144000;Rafael;4;89;male;2003
DE144000;Ralf;4;89;male;2003
DE144000;Richard;4;89;male;2003
DE144000;Theodor;4;89;male;2003
DE144000;Till;4;89;male;2003
DE144000;Ulrich;4;89;male;2003
DE144000;William;4;89;male;2003
DE144000;Yasin;4;89;male;2003
DE144000;Aaron;3;109;male;2003
DE144000;Alessandro;3;109;male;2003
DE144000;Alessio;3;109;male;2003
DE144000;Antonio;3;109;male;2003
DE144000;Arthur;3;109;male;2003
DE144000;Bastian;3;109;male;2003
DE144000;Belmin;3;109;male;2003
DE144000;Cem;3;109;male;2003
DE144000;Constantin;3;109;male;2003
DE144000;Emin;3;109;male;2003
DE144000;Eric;3;109;male;2003
DE144000;Fabio;3;109;male;2003
DE144000;Franz;3;109;male;2003
DE144000;Friedrich;3;109;male;2003
DE144000;Harald;3;109;male;2003
DE144000;Hasan;3;109;male;2003
DE144000;Hüseyin;3;109;male;2003
DE144000;Jeremy;3;109;male;2003
DE144000;Kai;3;109;male;2003
DE144000;Kerim;3;109;male;2003
DE144000;Klaus;3;109;male;2003
DE144000;Konstantin;3;109;male;2003
DE144000;Lasse;3;109;male;2003
DE144000;Laurin;3;109;male;2003
DE144000;Lee;3;109;male;2003
DE144000;Leonardo;3;109;male;2003
DE144000;Leonhard;3;109;male;2003
DE144000;Levin;3;109;male;2003
DE144000;Luke;3;109;male;2003
DE144000;Malik;3;109;male;2003
DE144000;Marlon;3;109;male;2003
DE144000;Mehmet;3;109;male;2003
DE144000;Michel;3;109;male;2003
DE144000;Mike;3;109;male;2003
DE144000;Robert;3;109;male;2003
