NUTS;GIVEN_NAME;NUMBER;RANKING;SEX;YEAR
DE144000;Leon;40;1;male;1982
DE144000;Maximilian;37;2;male;1982
DE144000;Alexander;34;3;male;1982
DE144000;Jakob;27;4;male;1982
DE144000;Noah;26;5;male;1982
DE144000;Elias;25;6;male;1982
DE144000;Felix;23;7;male;1982
DE144000;Philipp;21;8;male;1982
DE144000;Jonas;20;9;male;1982
DE144000;Julian;20;9;male;1982
DE144000;Luca;19;11;male;1982
DE144000;Luis;18;12;male;1982
DE144000;Lukas;18;12;male;1982
DE144000;Samuel;18;12;male;1982
DE144000;Tim;18;12;male;1982
DE144000;Fabian;17;16;male;1982
DE144000;Moritz;17;16;male;1982
DE144000;David;16;18;male;1982
DE144000;Dominik;16;18;male;1982
DE144000;Finn;16;18;male;1982
DE144000;Jan;16;18;male;1982
DE144000;Niklas;16;18;male;1982
DE144000;Paul;16;18;male;1982
DE144000;Sebastian;16;18;male;1982
DE144000;Simon;16;18;male;1982
DE144000;Andreas;13;26;male;1982
DE144000;Ben;13;26;male;1982
DE144000;Daniel;13;26;male;1982
DE144000;Johannes;13;26;male;1982
DE144000;Benjamin;12;30;male;1982
DE144000;Max;12;30;male;1982
DE144000;Arda;11;32;male;1982
DE144000;Christian;11;32;male;1982
DE144000;Michael;11;32;male;1982
DE144000;Nils;11;32;male;1982
DE144000;Noel;11;32;male;1982
DE144000;Raphael;11;32;male;1982
DE144000;Tom;11;32;male;1982
DE144000;Anton;10;39;male;1982
DE144000;Florian;10;39;male;1982
DE144000;Linus;10;39;male;1982
DE144000;Maxim;10;39;male;1982
DE144000;Nico;10;39;male;1982
DE144000;Valentin;10;39;male;1982
DE144000;Jonathan;9;45;male;1982
DE144000;Kevin;9;45;male;1982
DE144000;Robin;9;45;male;1982
DE144000;Aaron;8;48;male;1982
DE144000;Adrian;8;48;male;1982
DE144000;Eren;8;48;male;1982
DE144000;Hannes;8;48;male;1982
DE144000;Joshua;8;48;male;1982
DE144000;Julius;8;48;male;1982
DE144000;Leonard;8;48;male;1982
DE144000;Marc;8;48;male;1982
DE144000;Marlon;8;48;male;1982
DE144000;Silas;8;48;male;1982
DE144000;Thomas;8;48;male;1982
DE144000;Vincent;8;48;male;1982
DE144000;Bastian;7;60;male;1982
DE144000;Emil;7;60;male;1982
DE144000;Erik;7;60;male;1982
DE144000;Franz;7;60;male;1982
DE144000;Gabriel;7;60;male;1982
DE144000;Josef;7;60;male;1982
DE144000;Laurin;7;60;male;1982
DE144000;Matteo;7;60;male;1982
DE144000;Peter;7;60;male;1982
DE144000;Clemens;6;69;male;1982
DE144000;Constantin;6;69;male;1982
DE144000;Emre;6;69;male;1982
DE144000;Joel;6;69;male;1982
DE144000;Lars;6;69;male;1982
DE144000;Lennard;6;69;male;1982
DE144000;Levin;6;69;male;1982
DE144000;Manuel;6;69;male;1982
DE144000;Martin;6;69;male;1982
DE144000;Matthias;6;69;male;1982
DE144000;Pascal;6;69;male;1982
DE144000;Philip;6;69;male;1982
DE144000;Can;5;81;male;1982
DE144000;Deniz;5;81;male;1982
DE144000;Emanuel;5;81;male;1982
DE144000;Emin;5;81;male;1982
DE144000;Enes;5;81;male;1982
DE144000;Fabio;5;81;male;1982
DE144000;Friedrich;5;81;male;1982
DE144000;Georg;5;81;male;1982
DE144000;Hamza;5;81;male;1982
DE144000;Henri;5;81;male;1982
DE144000;Jason;5;81;male;1982
DE144000;Johann;5;81;male;1982
DE144000;Jonah;5;81;male;1982
DE144000;Karl;5;81;male;1982
DE144000;Lennart;5;81;male;1982
DE144000;Lorenz;5;81;male;1982
DE144000;Lucas;5;81;male;1982
DE144000;Marcel;5;81;male;1982
DE144000;Patrick;5;81;male;1982
DE144000;Ruben;5;81;male;1982
DE144000;Tobias;5;81;male;1982
DE144000;Umut;5;81;male;1982
DE144000;Wolfgang;5;81;male;1982
DE144000;Ali;4;104;male;1982
DE144000;Benedikt;4;104;male;1982
DE144000;Carl;4;104;male;1982
DE144000;Damian;4;104;male;1982
DE144000;Dennis;4;104;male;1982
DE144000;Efe;4;104;male;1982
DE144000;Enrico;4;104;male;1982
DE144000;Eric;4;104;male;1982
DE144000;Henry;4;104;male;1982
DE144000;Hermann;4;104;male;1982
