NUTS;GIVEN_NAME;NUMBER;RANKING;SEX;YEAR
DE144000;Marie;52;1;female;2002
DE144000;Sophie;35;2;female;2002
DE144000;Maria;34;3;female;2002
DE144000;Anna;32;4;female;2002
DE144000;Julia;31;5;female;2002
DE144000;Sarah;23;6;female;2002
DE144000;Lena;22;7;female;2002
DE144000;Leonie;22;7;female;2002
DE144000;Lara;21;9;female;2002
DE144000;Laura;20;10;female;2002
DE144000;Franziska;19;11;female;2002
DE144000;Lea;19;11;female;2002
DE144000;Lisa;18;13;female;2002
DE144000;Amelie;17;14;female;2002
DE144000;Katharina;17;14;female;2002
DE144000;Annika;15;16;female;2002
DE144000;Jana;15;16;female;2002
DE144000;Johanna;15;16;female;2002
DE144000;Nina;15;16;female;2002
DE144000;Michelle;13;20;female;2002
DE144000;Charlotte;12;21;female;2002
DE144000;Chiara;12;21;female;2002
DE144000;Pia;12;21;female;2002
DE144000;Vanessa;12;21;female;2002
DE144000;Jule;11;25;female;2002
DE144000;Nadine;11;25;female;2002
DE144000;Selina;11;25;female;2002
DE144000;Celine;10;28;female;2002
DE144000;Elisabeth;10;28;female;2002
DE144000;Emily;10;28;female;2002
DE144000;Luisa;10;28;female;2002
DE144000;Sophia;10;28;female;2002
DE144000;Carolin;9;33;female;2002
DE144000;Clara;9;33;female;2002
DE144000;Isabel;9;33;female;2002
DE144000;Jennifer;9;33;female;2002
DE144000;Antonia;8;37;female;2002
DE144000;Kim;8;37;female;2002
DE144000;Maren;8;37;female;2002
DE144000;Ronja;8;37;female;2002
DE144000;Elena;7;41;female;2002
DE144000;Hannah;7;41;female;2002
DE144000;Melissa;7;41;female;2002
DE144000;Sofie;7;41;female;2002
DE144000;Tamara;7;41;female;2002
DE144000;Theresa;7;41;female;2002
DE144000;Angelina;6;47;female;2002
DE144000;Christina;6;47;female;2002
DE144000;Emilia;6;47;female;2002
DE144000;Jasmin;6;47;female;2002
DE144000;Jessica;6;47;female;2002
DE144000;Lorena;6;47;female;2002
DE144000;Mia;6;47;female;2002
DE144000;Natalie;6;47;female;2002
DE144000;Pauline;6;47;female;2002
DE144000;Sina;6;47;female;2002
DE144000;Stephanie;6;47;female;2002
DE144000;Valentina;6;47;female;2002
DE144000;Alexandra;5;59;female;2002
DE144000;Alina;5;59;female;2002
DE144000;Aylin;5;59;female;2002
DE144000;Celina;5;59;female;2002
DE144000;Janina;5;59;female;2002
DE144000;Melanie;5;59;female;2002
DE144000;Miriam;5;59;female;2002
DE144000;Nicole;5;59;female;2002
DE144000;Sabrina;5;59;female;2002
DE144000;Sara;5;59;female;2002
DE144000;Saskia;5;59;female;2002
DE144000;Tabea;5;59;female;2002
DE144000;Verena;5;59;female;2002
DE144000;Aleyna;4;72;female;2002
DE144000;Anastasia;4;72;female;2002
DE144000;Andrea;4;72;female;2002
DE144000;Anja;4;72;female;2002
DE144000;Caroline;4;72;female;2002
DE144000;Dilara;4;72;female;2002
DE144000;Emma;4;72;female;2002
DE144000;Fabienne;4;72;female;2002
DE144000;Katrin;4;72;female;2002
DE144000;Larissa;4;72;female;2002
DE144000;Lilly;4;72;female;2002
DE144000;Lisa-Marie;4;72;female;2002
DE144000;Lydia;4;72;female;2002
DE144000;Madeleine;4;72;female;2002
DE144000;Maike;4;72;female;2002
DE144000;Malin;4;72;female;2002
DE144000;Mareike;4;72;female;2002
DE144000;Marlene;4;72;female;2002
DE144000;Mona;4;72;female;2002
DE144000;Paula;4;72;female;2002
DE144000;Selin;4;72;female;2002
DE144000;Sofia;4;72;female;2002
DE144000;Susanne;4;72;female;2002
DE144000;Victoria;4;72;female;2002
DE144000;Viktoria;4;72;female;2002
DE144000;Adriana;3;97;female;2002
DE144000;Alisa;3;97;female;2002
DE144000;Anika;3;97;female;2002
DE144000;Anne;3;97;female;2002
DE144000;Barbara;3;97;female;2002
DE144000;Beatrice;3;97;female;2002
DE144000;Burcu;3;97;female;2002
DE144000;Cara;3;97;female;2002
DE144000;Chantal;3;97;female;2002
DE144000;Dana;3;97;female;2002
DE144000;Eileen;3;97;female;2002
DE144000;Ellen;3;97;female;2002
